,text,start,duration,video_id
0,분해하는 걸 인수분해라 그래요,8.22,3.36,Fgm5umQsHxM
1,분해해요,10.2,2.58,Fgm5umQsHxM
2,뭘로,11.58,2.82,Fgm5umQsHxM
3,인수로 분해한다 그래서 인수분해 그럼,12.78,2.819,Fgm5umQsHxM
4,무슨 뜻을 알아야 돼요,14.4,3.06,Fgm5umQsHxM
5,분해는 뭔지 알잖아요,15.599,4.44,Fgm5umQsHxM
6,인수가 뭔지를 알면 돼 인수가 뭐예요,17.46,4.56,Fgm5umQsHxM
7,곱으로 연결된 각각을 인수라고 그래,20.039,4.201,Fgm5umQsHxM
8,곱으로 연결된 각각 그러니까 잘 봐,22.02,5.099,Fgm5umQsHxM
9,XY 이렇게 있으면,24.24,4.68,Fgm5umQsHxM
10,Z 이렇게 얘기할게 xyz가 있다,27.119,3.361,Fgm5umQsHxM
11,그러면 항 하나죠,28.92,3.78,Fgm5umQsHxM
12,여기에서의 인수를 얘기하라 그러면,30.48,4.5,Fgm5umQsHxM
13,x도 인수 왜,32.7,4.5,Fgm5umQsHxM
14,호불호 연결된 각각을 얘도 인수 얘도,34.98,5.64,Fgm5umQsHxM
15,인수 얘도 인수 예를 들어서 X +,37.2,4.14,Fgm5umQsHxM
16,Y,40.62,3.48,Fgm5umQsHxM
17,X + Y - 1,41.34,4.68,Fgm5umQsHxM
18,얘도 인수 얘도 인수 왜,44.1,5.88,Fgm5umQsHxM
19,곱으로 연결된 각각의 인수라 그래요,46.02,6.6,Fgm5umQsHxM
20,여기는 곱하기가 뭘로 연결되어 있어,49.98,4.38,Fgm5umQsHxM
21,x랑 y랑 z가 곱으로 연결되어,52.62,4.2,Fgm5umQsHxM
22,있으니까 x도 인수 y도 인수 z도,54.36,4.62,Fgm5umQsHxM
23,인수 심지어,56.82,3.239,Fgm5umQsHxM
24,얘네들도,58.98,2.88,Fgm5umQsHxM
25,xy도 인수 왜,60.059,4.441,Fgm5umQsHxM
26,xy랑 z도 곱하기 연결되어 있습니다,61.86,4.98,Fgm5umQsHxM
27,곱하기 연결된 각각 인수라는 모두,64.5,5.64,Fgm5umQsHxM
28,인수 yz도 인수 심지어 xyz도,66.84,5.58,Fgm5umQsHxM
29,하나의 인수예요 왜 1이랑 곱해져,70.14,4.38,Fgm5umQsHxM
30,있는 거니까 여기서도,72.42,3.12,Fgm5umQsHxM
31,인수는 뭐야,74.52,2.88,Fgm5umQsHxM
32,x + y도 인수 누구야,75.54,4.259,Fgm5umQsHxM
33,X + Y - 1도 인수예요 그리고이,77.4,4.44,Fgm5umQsHxM
34,전체도 사람들은 인수라고 그러니까,79.799,4.561,Fgm5umQsHxM
35,곱으로 연결된 각각을 인수라 그래요,81.84,3.3,Fgm5umQsHxM
36,그러니까,84.36,3.06,Fgm5umQsHxM
37,인수분해라는 말은 뭐냐면,85.14,4.019,Fgm5umQsHxM
38,곱으로 분해하는 건 인수분해라 그래,87.42,2.4,Fgm5umQsHxM
39,그러니까,89.159,3.741,Fgm5umQsHxM
40,12를 인수분해하시고 그러잖아요,89.82,5.7,Fgm5umQsHxM
41,11일 인수분해하라 그러면,92.9,5.079,Fgm5umQsHxM
42,얘를 곱골로 분해하라는 얘기예요 어떤,95.52,4.38,Fgm5umQsHxM
43,사람은 이렇게 써요,97.979,5.041,Fgm5umQsHxM
44,어떤 사람은 이렇게 써요,99.9,4.5,Fgm5umQsHxM
45,어떤 사람은 이렇게,103.02,2.52,Fgm5umQsHxM
46,써요,104.4,4.259,Fgm5umQsHxM
47,다 인수분해요,105.54,3.96,Fgm5umQsHxM
48,답은,108.659,2.46,Fgm5umQsHxM
49,얘도 답이고 얘도 답이고 얘도 답이야,109.5,3.36,Fgm5umQsHxM
50,뭐 하라 그랬으니까,111.119,4.441,Fgm5umQsHxM
51,인수분해하라고 그랬어요 인수분해 뭔데,112.86,6.86,Fgm5umQsHxM
52,이게 진짜 곱으로 표현했잖아,115.56,4.16,Fgm5umQsHxM
53,사는 더 쪼갤 수 있죠 2 곱하기로,124.32,6.719,Fgm5umQsHxM
54,6은 2 곱하기 3으로 더 쪼갤 수,128.399,4.821,Fgm5umQsHxM
55,있잖아요,131.039,2.181,Fgm5umQsHxM
56,얘네들은 더 이상 쪼갤 수 없잖아,133.5,5.099,Fgm5umQsHxM
57,내가 얘기하는 더 이상 쪼갤 수 없는,135.78,4.56,Fgm5umQsHxM
58,수를,138.599,4.341,Fgm5umQsHxM
59,영어로,140.34,2.6,Fgm5umQsHxM
60,그래요,143.94,2.06,Fgm5umQsHxM
61,이거를,147.239,3.0,Fgm5umQsHxM
62,한자어로 소스 그래요,151.02,7.62,Fgm5umQsHxM
63,소수가 아니라 이런 걸 소수 0.1,154.68,6.0,Fgm5umQsHxM
64,얘는 읽을 때 어떻게 했냐면 소수,158.64,3.48,Fgm5umQsHxM
65,이렇게 있습니다,160.68,2.94,Fgm5umQsHxM
66,그렇게 읽어요 그래서 옛날에는 이렇게,162.12,3.619,Fgm5umQsHxM
67,썼었어요,163.62,2.119,Fgm5umQsHxM
68,무슨 말이냐면,173.16,3.96,Fgm5umQsHxM
69,비수학적으로,174.959,4.441,Fgm5umQsHxM
70,피 깨기하면 더 이상 쪼갤 수 없는,177.12,4.14,Fgm5umQsHxM
71,숫자,179.4,4.02,Fgm5umQsHxM
72,수학적으로 얘기하면,181.26,4.619,Fgm5umQsHxM
73,1위가 자신 이후에는,183.42,4.099,Fgm5umQsHxM
74,약수가 없는 자연스,185.879,5.401,Fgm5umQsHxM
75,1과 자신이에는 약수도 없는가,187.519,5.14,Fgm5umQsHxM
76,4의 약수 얘기하시오,191.28,5.0,Fgm5umQsHxM
77,51석 들어야 돼 모르는 사람은,192.659,3.621,Fgm5umQsHxM
78,약수가 있잖아 이런 거는 수술하고 안,199.86,5.04,Fgm5umQsHxM
79,하고 1과 자기 자신만,202.26,5.46,Fgm5umQsHxM
80,약수로 갖는 그런 자연수를 소수라,204.9,3.479,Fgm5umQsHxM
81,그래요,207.72,2.46,Fgm5umQsHxM
82,쉽게 얘기하면 프레임 넘버 뭐야 더,208.379,4.021,Fgm5umQsHxM
83,이상 안 쪼개지는 거 더 이상 안,210.18,3.54,Fgm5umQsHxM
84,죽여지기잖아요,212.4,2.04,Fgm5umQsHxM
85,그러니까,213.72,2.4,Fgm5umQsHxM
86,얘도 소수고 얘도 소수고 얘도,214.44,3.719,Fgm5umQsHxM
87,소수거든요,216.12,4.259,Fgm5umQsHxM
88,소수인,218.159,3.121,Fgm5umQsHxM
89,인수로,220.379,3.181,Fgm5umQsHxM
90,분해했다를 사람들은 소인수분해 이렇게,221.28,4.98,Fgm5umQsHxM
91,얘기하는 거야 소수인 인수로 분해했다,223.56,3.539,Fgm5umQsHxM
92,이렇게,226.26,1.5,Fgm5umQsHxM
93,그러니까,227.099,2.461,Fgm5umQsHxM
94,인수분해는 얘도 답이고 얘도 답이고,227.76,3.24,Fgm5umQsHxM
95,얘도 답이지만,229.56,4.5,Fgm5umQsHxM
96,송인수분해는 이것만 답이죠,231.0,4.26,Fgm5umQsHxM
97,무슨 말인지 알겠지,234.06,3.599,Fgm5umQsHxM
98,그러니까 그냥,235.26,4.699,Fgm5umQsHxM
99,인수분해요,237.659,2.3,Fgm5umQsHxM
100,그러니까 집중해라,242.58,2.96,Fgm5umQsHxM
101,a 곱하기 b+c를 전개하시고 그러면,247.98,4.64,Fgm5umQsHxM
102,AB +,251.159,3.541,Fgm5umQsHxM
103,전개하셔 그러면,252.62,4.38,Fgm5umQsHxM
104,a 씨인데,254.7,2.3,Fgm5umQsHxM
105,다른 말로,261.9,2.179,Fgm5umQsHxM
106,집중해 봐,265.62,3.6,Fgm5umQsHxM
107,좌변은,267.78,3.72,Fgm5umQsHxM
108,a랑 b+랑 곱으로 연결되어 있으니까,269.22,4.08,Fgm5umQsHxM
109,얘도 인수 얘도 인수,271.5,3.86,Fgm5umQsHxM
110,곱으로 연결되어 있으니까 항이 하나야,273.3,5.3,Fgm5umQsHxM
111,다낭이 하나야,275.36,3.24,Fgm5umQsHxM
112,근데 우변은,279.78,3.74,Fgm5umQsHxM
113,얘랑 얘랑 합으로 연결되어 있으니까,281.82,4.8,Fgm5umQsHxM
114,한이 두 개야 당시기잖아,283.52,5.44,Fgm5umQsHxM
115,이렇게 집중해,286.62,3.9,Fgm5umQsHxM
116,끝나서 거의 3분 후에 집에 갈,288.96,2.7,Fgm5umQsHxM
117,거예요,290.52,2.7,Fgm5umQsHxM
118,여러분이 가는게 아니라 내가 집에 갈,291.66,3.74,Fgm5umQsHxM
119,거야,293.22,2.18,Fgm5umQsHxM
120,이와 같이 집중해,295.44,3.38,Fgm5umQsHxM
121,단항식을,298.919,5.481,Fgm5umQsHxM
122,방식으로 바꾸는 과정을 전개라 그래요,300.24,4.16,Fgm5umQsHxM
123,그리고 잘 봐,305.759,4.801,Fgm5umQsHxM
124,방식을,309.24,3.179,Fgm5umQsHxM
